checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class
no checking account,15,existing paid back,domestic appliances,1262,500 <= x < 1000 DM,4 <= x < 7 yrs,4,male:single,none,3,life insurance,36,none,own,2,skilled,1,yes,yes,Good Risk
0 <= x < 200 DM,10,existing paid back,car (new),7308,< 100 DM,unemployed,2,male:single,none,4,no property,70,bank,for free,1,high qual/mgmt,1,yes,yes,Good Risk
no checking account,36,existing paid back,car (new),909,500 <= x < 1000 DM,>= 7 yrs,4,male:single,none,4,life insurance,36,none,own,1,skilled,1,none,yes,Good Risk
no checking account,6,existing paid back,furniture/equip,2978,500 <= x < 1000 DM,1 <= x < 4 yrs,1,male:single,none,2,car,32,none,own,1,skilled,1,yes,yes,Good Risk
< 0 DM,18,existing paid back,furniture/equip,1131,< 100 DM,unemployed,4,female:div/dep/mar,none,2,car,33,none,own,1,skilled,1,none,yes,Bad Risk
0 <= x < 200 DM,11,existing paid back,furniture/equip,1577,>= 1000 DM,< 1 yr,4,female:div/dep/mar,none,1,real estate,20,none,own,1,skilled,1,none,yes,Good Risk
no checking account,24,existing paid back,furniture/equip,3972,< 100 DM,4 <= x < 7 yrs,2,female:div/dep/mar,none,4,life insurance,25,none,rent,1,skilled,1,yes,yes,Good Risk
0 <= x < 200 DM,24,critical account,business,1935,< 100 DM,>= 7 yrs,4,male:divorced,none,4,real estate,31,none,own,2,skilled,1,yes,yes,Bad Risk
< 0 DM,15,no credits/all paid,car (new),950,< 100 DM,>= 7 yrs,4,male:single,none,3,car,33,none,rent,2,skilled,2,none,yes,Bad Risk
no checking account,12,existing paid back,furniture/equip,763,< 100 DM,1 <= x < 4 yrs,4,female:div/dep/mar,none,1,real estate,26,none,own,1,skilled,1,yes,yes,Good Risk
0 <= x < 200 DM,24,delay in past,furniture/equip,2064,< 100 DM,unemployed,3,female:div/dep/mar,none,2,life insurance,34,none,own,1,high qual/mgmt,1,yes,yes,Bad Risk
0 <= x < 200 DM,8,existing paid back,radio/tv,1414,< 100 DM,1 <= x < 4 yrs,4,male:single,guarantor,2,real estate,33,none,own,1,skilled,1,none,no,Good Risk
< 0 DM,21,delay in past,education,3414,< 100 DM,< 1 yr,2,male:single,none,1,life insurance,26,none,own,2,skilled,1,none,yes,Bad Risk
no checking account,30,all paid back here,car (used),7485,no savings,unemployed,4,female:div/dep/mar,none,1,real estate,53,bank,own,1,high qual/mgmt,1,yes,yes,Bad Risk
< 0 DM,12,existing paid back,furniture/equip,2577,< 100 DM,1 <= x < 4 yrs,2,male:divorced,none,1,car,42,none,own,1,skilled,1,none,yes,Good Risk
< 0 DM,6,critical account,radio/tv,338,500 <= x < 1000 DM,>= 7 yrs,4,male:single,none,4,car,52,none,own,2,skilled,1,none,yes,Good Risk
no checking account,12,existing paid back,radio/tv,1963,< 100 DM,4 <= x < 7 yrs,4,male:single,none,2,car,31,none,rent,2,high qual/mgmt,2,yes,yes,Good Risk
< 0 DM,21,critical account,car (new),571,< 100 DM,>= 7 yrs,4,male:single,none,4,real estate,65,none,own,2,skilled,1,none,yes,Good Risk
no checking account,36,delay in past,business,9572,< 100 DM,< 1 yr,1,male:divorced,none,1,car,28,none,own,2,skilled,1,none,yes,Bad Risk
0 <= x < 200 DM,36,delay in past,business,4455,< 100 DM,1 <= x < 4 yrs,2,male:divorced,none,2,real estate,30,stores,own,2,high qual/mgmt,1,yes,yes,Bad Risk
< 0 DM,21,all paid back here,car (new),1647,no savings,1 <= x < 4 yrs,4,male:single,none,2,life insurance,40,none,own,2,unskilled resident,2,none,yes,Bad Risk
no checking account,24,critical account,furniture/equip,3777,>= 1000 DM,1 <= x < 4 yrs,4,male:single,none,4,real estate,50,none,own,1,skilled,1,yes,yes,Good Risk
0 <= x < 200 DM,18,critical account,car (new),884,< 100 DM,>= 7 yrs,4,male:single,none,4,car,36,bank,own,1,skilled,2,yes,yes,Bad Risk
no checking account,15,critical account,radio/tv,1360,< 100 DM,1 <= x < 4 yrs,4,male:single,none,2,life insurance,31,none,own,2,skilled,1,none,yes,Good Risk
0 <= x < 200 DM,9,all paid back here,car (used),5129,< 100 DM,>= 7 yrs,2,female:div/dep/mar,none,4,no property,74,bank,for free,1,high qual/mgmt,2,yes,yes,Bad Risk
0 <= x < 200 DM,16,critical account,car (new),1175,< 100 DM,unemployed,2,male:single,none,3,car,68,none,for free,3,unemp/unskilled non-res,1,yes,yes,Good Risk
< 0 DM,12,existing paid back,radio/tv,674,100 <= x < 500 DM,4 <= x < 7 yrs,4,male:mar/wid,none,1,life insurance,20,none,own,1,skilled,1,none,yes,Bad Risk
0 <= x < 200 DM,18,no credits/all paid,furniture/equip,3244,< 100 DM,1 <= x < 4 yrs,1,female:div/dep/mar,none,4,car,33,bank,own,2,skilled,1,yes,yes,Good Risk
no checking account,24,existing paid back,business,4591,>= 1000 DM,1 <= x < 4 yrs,2,male:single,none,3,life insurance,54,none,own,3,high qual/mgmt,1,yes,yes,Bad Risk
0 <= x < 200 DM,48,no credits/all paid,business,3844,100 <= x < 500 DM,4 <= x < 7 yrs,4,male:single,none,4,no property,34,none,for free,1,unskilled resident,2,none,yes,Bad Risk
0 <= x < 200 DM,27,existing paid back,business,3915,< 100 DM,1 <= x < 4 yrs,4,male:single,none,2,car,36,none,own,1,skilled,2,yes,yes,Bad Risk
no checking account,6,existing paid back,radio/tv,2108,< 100 DM,4 <= x < 7 yrs,2,male:mar/wid,none,2,real estate,29,none,rent,1,skilled,1,none,yes,Good Risk
0 <= x < 200 DM,45,existing paid back,radio/tv,3031,100 <= x < 500 DM,1 <= x < 4 yrs,4,male:single,guarantor,4,life insurance,21,none,rent,1,skilled,1,none,yes,Bad Risk
0 <= x < 200 DM,9,critical account,education,1501,< 100 DM,>= 7 yrs,2,female:div/dep/mar,none,3,car,34,none,own,2,high qual/mgmt,1,yes,yes,Bad Risk
no checking account,6,critical account,radio/tv,1382,< 100 DM,1 <= x < 4 yrs,1,female:div/dep/mar,none,1,car,28,none,own,2,skilled,1,yes,yes,Good Risk
0 <= x < 200 DM,12,existing paid back,furniture/equip,951,100 <= x < 500 DM,< 1 yr,4,female:div/dep/mar,none,4,car,27,bank,rent,4,skilled,1,none,yes,Bad Risk
0 <= x < 200 DM,24,existing paid back,car (used),2760,no savings,>= 7 yrs,4,male:single,none,4,no property,36,bank,for free,1,skilled,1,yes,yes,Good Risk
0 <= x < 200 DM,18,delay in past,furniture/equip,4297,< 100 DM,>= 7 yrs,4,male:divorced,none,3,no property,40,none,own,1,high qual/mgmt,1,yes,yes,Bad Risk
no checking account,9,critical account,education,936,500 <= x < 1000 DM,>= 7 yrs,4,male:single,none,2,car,52,none,own,2,skilled,1,yes,yes,Good Risk
< 0 DM,12,existing paid back,car (new),1168,< 100 DM,1 <= x < 4 yrs,4,male:mar/wid,none,3,real estate,27,none,own,1,unskilled resident,1,none,yes,Good Risk
no checking account,27,delay in past,business,5117,< 100 DM,4 <= x < 7 yrs,3,male:single,none,4,car,26,none,own,2,skilled,1,none,yes,Good Risk
< 0 DM,12,existing paid back,retraining,902,< 100 DM,4 <= x < 7 yrs,4,male:mar/wid,none,4,life insurance,21,none,rent,1,skilled,1,none,yes,Bad Risk
no checking account,12,critical account,car (new),1495,< 100 DM,>= 7 yrs,4,male:single,none,1,real estate,38,none,own,2,unskilled resident,2,none,yes,Good Risk
< 0 DM,30,critical account,car (used),10623,< 100 DM,>= 7 yrs,3,male:single,none,4,no property,38,none,for free,3,high qual/mgmt,2,yes,yes,Good Risk
no checking account,12,critical account,furniture/equip,1935,< 100 DM,>= 7 yrs,4,male:single,none,4,real estate,43,none,own,3,skilled,1,yes,yes,Good Risk
0 <= x < 200 DM,12,critical account,domestic appliances,1424,< 100 DM,4 <= x < 7 yrs,4,male:single,none,3,life insurance,26,none,own,1,skilled,1,none,yes,Good Risk
< 0 DM,24,existing paid back,business,6568,< 100 DM,1 <= x < 4 yrs,2,male:mar/wid,none,2,car,21,stores,own,1,unskilled resident,1,none,yes,Good Risk
no checking account,12,existing paid back,car (used),1413,>= 1000 DM,4 <= x < 7 yrs,3,male:single,none,2,life insurance,55,none,own,1,skilled,1,none,no,Good Risk
no checking account,9,critical account,radio/tv,3074,no savings,1 <= x < 4 yrs,1,male:single,none,2,real estate,33,none,own,2,skilled,2,none,yes,Good Risk
no checking account,36,existing paid back,radio/tv,3835,no savings,>= 7 yrs,2,female:div/dep/mar,none,4,real estate,45,none,own,1,unskilled resident,1,yes,yes,Good Risk
< 0 DM,27,no credits/all paid,business,5293,< 100 DM,unemployed,2,male:single,none,4,life insurance,50,stores,own,2,skilled,1,yes,yes,Bad Risk
>= 200 DM,30,delay in past,business,1908,< 100 DM,>= 7 yrs,4,male:single,none,4,real estate,66,none,own,1,high qual/mgmt,1,yes,yes,Bad Risk
no checking account,36,critical account,radio/tv,3342,no savings,>= 7 yrs,4,male:single,none,2,car,51,none,own,1,skilled,1,yes,yes,Good Risk
0 <= x < 200 DM,6,critical account,retraining,932,no savings,4 <= x < 7 yrs,1,female:div/dep/mar,none,3,life insurance,39,none,own,2,unskilled resident,1,none,yes,Good Risk
< 0 DM,18,no credits/all paid,business,3104,< 100 DM,4 <= x < 7 yrs,3,male:single,none,1,life insurance,31,bank,own,1,skilled,1,yes,yes,Good Risk
>= 200 DM,36,existing paid back,radio/tv,3913,< 100 DM,1 <= x < 4 yrs,2,male:single,none,2,real estate,23,none,own,1,skilled,1,yes,yes,Good Risk
< 0 DM,24,existing paid back,furniture/equip,3021,< 100 DM,1 <= x < 4 yrs,2,male:divorced,none,2,real estate,24,none,rent,1,unskilled resident,1,none,yes,Good Risk
no checking account,10,existing paid back,car (new),1364,< 100 DM,1 <= x < 4 yrs,2,female:div/dep/mar,none,4,car,64,none,own,1,skilled,1,yes,yes,Good Risk
0 <= x < 200 DM,12,existing paid back,radio/tv,625,< 100 DM,< 1 yr,4,male:mar/wid,guarantor,1,real estate,26,bank,own,1,unskilled resident,1,none,yes,Good Risk
< 0 DM,12,existing paid back,education,1200,no savings,1 <= x < 4 yrs,4,female:div/dep/mar,none,4,life insurance,23,bank,rent,1,skilled,1,yes,yes,Good Risk
no checking account,12,existing paid back,radio/tv,707,< 100 DM,1 <= x < 4 yrs,4,male:single,none,2,real estate,30,bank,own,2,skilled,1,none,yes,Good Risk
no checking account,24,delay in past,business,2978,no savings,1 <= x < 4 yrs,4,male:single,none,4,real estate,32,none,own,2,skilled,2,yes,yes,Good Risk
no checking account,15,existing paid back,car (used),4657,< 100 DM,1 <= x < 4 yrs,3,male:single,none,2,car,30,none,own,1,skilled,1,yes,yes,Good Risk
no checking account,36,no credits/all paid,repairs,2613,< 100 DM,1 <= x < 4 yrs,4,male:single,none,2,car,27,none,own,2,skilled,1,none,yes,Good Risk
0 <= x < 200 DM,48,existing paid back,radio/tv,10961,>= 1000 DM,4 <= x < 7 yrs,1,male:single,co-applicant,2,no property,27,bank,own,2,skilled,1,yes,yes,Bad Risk
< 0 DM,12,existing paid back,furniture/equip,7865,< 100 DM,>= 7 yrs,4,male:single,none,4,no property,53,none,for free,1,high qual/mgmt,1,yes,yes,Bad Risk
no checking account,9,existing paid back,radio/tv,1478,< 100 DM,4 <= x < 7 yrs,4,male:single,none,2,car,22,none,own,1,skilled,1,none,yes,Bad Risk
< 0 DM,24,existing paid back,furniture/equip,3149,< 100 DM,< 1 yr,4,male:single,none,1,no property,22,bank,for free,1,skilled,1,none,yes,Good Risk
>= 200 DM,36,existing paid back,radio/tv,4210,< 100 DM,1 <= x < 4 yrs,4,male:single,none,2,car,26,none,own,1,skilled,1,none,yes,Bad Risk
no checking account,9,existing paid back,car (new),2507,500 <= x < 1000 DM,>= 7 yrs,2,male:single,none,4,no property,51,none,for free,1,unskilled resident,1,none,yes,Good Risk
no checking account,12,existing paid back,radio/tv,2141,100 <= x < 500 DM,4 <= x < 7 yrs,3,male:single,none,1,no property,35,none,own,1,skilled,1,none,yes,Good Risk
0 <= x < 200 DM,18,existing paid back,radio/tv,866,< 100 DM,1 <= x < 4 yrs,4,male:mar/wid,guarantor,2,real estate,25,none,own,1,unskilled resident,1,none,yes,Good Risk
no checking account,4,critical account,radio/tv,1544,< 100 DM,4 <= x < 7 yrs,2,male:single,none,1,real estate,42,none,own,3,unskilled resident,2,none,yes,Good Risk
< 0 DM,24,existing paid back,radio/tv,1823,< 100 DM,unemployed,4,male:single,none,2,car,30,stores,own,1,high qual/mgmt,2,none,yes,Bad Risk
0 <= x < 200 DM,6,existing paid back,car (new),14555,no savings,unemployed,1,male:single,none,2,life insurance,23,none,own,1,unemp/unskilled non-res,1,yes,yes,Bad Risk
0 <= x < 200 DM,21,existing paid back,business,2767,100 <= x < 500 DM,>= 7 yrs,4,male:divorced,none,2,car,61,bank,rent,2,unskilled resident,1,none,yes,Bad Risk
no checking account,12,critical account,radio/tv,1291,< 100 DM,1 <= x < 4 yrs,4,female:div/dep/mar,none,2,life insurance,35,none,own,2,skilled,1,none,yes,Good Risk
< 0 DM,30,existing paid back,radio/tv,2522,< 100 DM,>= 7 yrs,1,male:single,guarantor,3,life insurance,39,none,own,1,skilled,2,none,yes,Good Risk
< 0 DM,24,existing paid back,car (new),915,no savings,>= 7 yrs,4,female:div/dep/mar,none,2,car,29,bank,own,1,skilled,1,none,yes,Bad Risk
no checking account,6,existing paid back,radio/tv,1595,< 100 DM,4 <= x < 7 yrs,3,male:single,none,2,life insurance,51,none,own,1,skilled,2,none,yes,Good Risk
< 0 DM,48,no credits/all paid,car (used),4605,< 100 DM,>= 7 yrs,3,male:single,none,4,no property,24,none,for free,2,skilled,2,none,yes,Bad Risk
no checking account,12,critical account,business,1185,< 100 DM,1 <= x < 4 yrs,3,female:div/dep/mar,none,2,real estate,27,none,own,2,skilled,1,none,yes,Good Risk
no checking account,12,all paid back here,retraining,3447,500 <= x < 1000 DM,1 <= x < 4 yrs,4,female:div/dep/mar,none,3,real estate,35,none,own,1,unskilled resident,2,none,yes,Good Risk
no checking account,24,existing paid back,business,1258,< 100 DM,4 <= x < 7 yrs,4,male:single,none,1,real estate,25,none,own,1,skilled,1,yes,yes,Good Risk
no checking account,12,critical account,radio/tv,717,< 100 DM,>= 7 yrs,4,male:single,none,4,real estate,52,none,own,3,skilled,1,none,yes,Good Risk
no checking account,6,no credits/all paid,car (new),1204,100 <= x < 500 DM,1 <= x < 4 yrs,4,male:single,none,1,no property,35,bank,rent,1,skilled,1,none,no,Good Risk
>= 200 DM,24,existing paid back,furniture/equip,1925,< 100 DM,1 <= x < 4 yrs,2,male:single,none,2,real estate,26,none,own,1,skilled,1,none,yes,Good Risk
no checking account,18,existing paid back,radio/tv,433,< 100 DM,unemployed,3,female:div/dep/mar,co-applicant,4,real estate,22,none,rent,1,skilled,1,none,yes,Bad Risk
< 0 DM,6,critical account,car (new),666,>= 1000 DM,4 <= x < 7 yrs,3,female:div/dep/mar,none,4,real estate,39,none,own,2,unskilled resident,1,yes,yes,Good Risk
>= 200 DM,12,existing paid back,furniture/equip,2251,< 100 DM,1 <= x < 4 yrs,1,female:div/dep/mar,none,2,car,46,none,own,1,unskilled resident,1,none,yes,Good Risk
0 <= x < 200 DM,30,existing paid back,car (new),2150,< 100 DM,1 <= x < 4 yrs,4,female:div/dep/mar,guarantor,2,no property,24,bank,own,1,skilled,1,none,yes,Bad Risk
no checking account,24,delay in past,furniture/equip,4151,100 <= x < 500 DM,1 <= x < 4 yrs,2,male:single,none,3,life insurance,35,none,own,2,skilled,1,none,yes,Good Risk
0 <= x < 200 DM,9,existing paid back,furniture/equip,2030,no savings,4 <= x < 7 yrs,2,male:single,none,1,car,24,none,own,1,skilled,1,yes,yes,Good Risk
0 <= x < 200 DM,60,delay in past,radio/tv,7418,no savings,1 <= x < 4 yrs,1,male:single,none,1,real estate,27,none,own,1,unskilled resident,1,none,yes,Good Risk
no checking account,24,critical account,radio/tv,2684,< 100 DM,1 <= x < 4 yrs,4,male:single,none,2,real estate,35,none,own,2,unskilled resident,1,none,yes,Good Risk
< 0 DM,12,all paid back here,radio/tv,2149,< 100 DM,1 <= x < 4 yrs,4,male:divorced,none,1,no property,29,none,for free,1,skilled,1,none,yes,Bad Risk
no checking account,15,existing paid back,car (used),3812,100 <= x < 500 DM,< 1 yr,1,female:div/dep/mar,none,4,car,23,none,own,1,skilled,1,yes,yes,Good Risk
no checking account,11,critical account,radio/tv,1154,100 <= x < 500 DM,unemployed,4,female:div/dep/mar,none,4,real estate,57,none,own,3,unskilled resident,1,none,yes,Good Risk
< 0 DM,12,existing paid back,furniture/equip,1657,< 100 DM,1 <= x < 4 yrs,2,male:single,none,2,real estate,27,none,own,1,skilled,1,none,yes,Good Risk
< 0 DM,24,existing paid back,radio/tv,1603,< 100 DM,>= 7 yrs,4,female:div/dep/mar,none,4,car,55,none,own,1,skilled,1,none,yes,Good Risk
< 0 DM,18,critical account,car (new),5302,< 100 DM,>= 7 yrs,2,male:single,none,4,no property,36,none,for free,3,high qual/mgmt,1,yes,yes,Good Risk
no checking account,12,critical account,education,2748,< 100 DM,>= 7 yrs,2,female:div/dep/mar,none,4,no property,57,bank,for free,3,unskilled resident,1,none,yes,Good Risk
no checking account,10,critical account,car (new),1231,< 100 DM,>= 7 yrs,3,male:single,none,4,real estate,32,none,own,2,unskilled resident,2,none,no,Good Risk
0 <= x < 200 DM,15,existing paid back,radio/tv,802,< 100 DM,>= 7 yrs,4,male:single,none,3,car,37,none,own,1,skilled,2,none,yes,Bad Risk
no checking account,36,critical account,business,6304,no savings,>= 7 yrs,4,male:single,none,4,real estate,36,none,own,2,skilled,1,none,yes,Good Risk
no checking account,24,existing paid back,radio/tv,1533,< 100 DM,< 1 yr,4,female:div/dep/mar,none,3,car,38,stores,own,1,skilled,1,yes,yes,Good Risk
< 0 DM,14,existing paid back,car (new),8978,< 100 DM,>= 7 yrs,1,male:divorced,none,4,life insurance,45,none,own,1,high qual/mgmt,1,yes,no,Bad Risk
no checking account,24,existing paid back,radio/tv,999,no savings,>= 7 yrs,4,male:single,none,2,car,25,none,own,2,skilled,1,none,yes,Good Risk
no checking account,18,existing paid back,car (new),2662,no savings,4 <= x < 7 yrs,4,male:single,none,3,life insurance,32,none,own,1,skilled,1,none,no,Good Risk
no checking account,12,critical account,furniture/equip,1402,500 <= x < 1000 DM,4 <= x < 7 yrs,3,female:div/dep/mar,none,4,car,37,none,rent,1,skilled,1,yes,yes,Good Risk
0 <= x < 200 DM,48,all paid back here,car (new),12169,no savings,unemployed,4,male:single,co-applicant,4,no property,36,none,for free,1,high qual/mgmt,1,yes,yes,Good Risk
0 <= x < 200 DM,48,existing paid back,radio/tv,3060,< 100 DM,4 <= x < 7 yrs,4,male:single,none,4,real estate,28,none,own,2,skilled,1,none,yes,Bad Risk
< 0 DM,30,existing paid back,repairs,11998,< 100 DM,< 1 yr,1,male:divorced,none,1,no property,34,none,own,1,unskilled resident,1,yes,yes,Bad Risk
no checking account,9,existing paid back,radio/tv,2697,< 100 DM,1 <= x < 4 yrs,1,male:single,none,2,real estate,32,none,own,1,skilled,2,none,yes,Good Risk
no checking account,18,critical account,radio/tv,2404,< 100 DM,1 <= x < 4 yrs,2,female:div/dep/mar,none,2,car,26,none,own,2,skilled,1,none,yes,Good Risk
< 0 DM,12,existing paid back,furniture/equip,1262,no savings,>= 7 yrs,2,male:divorced,none,4,life insurance,49,none,own,1,unskilled resident,1,yes,yes,Good Risk
no checking account,6,existing paid back,furniture/equip,4611,< 100 DM,< 1 yr,1,female:div/dep/mar,none,4,life insurance,32,none,own,1,skilled,1,none,yes,Bad Risk
no checking account,24,existing paid back,radio/tv,1901,100 <= x < 500 DM,1 <= x < 4 yrs,4,male:single,none,4,car,29,none,rent,1,high qual/mgmt,1,yes,yes,Good Risk
no checking account,15,critical account,car (used),3368,>= 1000 DM,>= 7 yrs,3,male:single,none,4,no property,23,none,rent,2,skilled,1,yes,yes,Good Risk
no checking account,12,existing paid back,furniture/equip,1574,< 100 DM,1 <= x < 4 yrs,4,male:single,none,2,real estate,50,none,own,1,skilled,1,none,yes,Good Risk
>= 200 DM,18,all paid back here,radio/tv,1445,no savings,4 <= x < 7 yrs,4,male:single,none,4,car,49,bank,own,1,unskilled resident,1,none,yes,Good Risk
no checking account,15,critical account,furniture/equip,1520,no savings,>= 7 yrs,4,male:single,none,4,life insurance,63,none,own,1,skilled,1,none,yes,Good Risk
0 <= x < 200 DM,24,critical account,car (new),3878,100 <= x < 500 DM,< 1 yr,4,male:divorced,none,2,car,37,none,own,1,skilled,1,yes,yes,Good Risk
< 0 DM,47,existing paid back,car (new),10722,< 100 DM,< 1 yr,1,female:div/dep/mar,none,1,real estate,35,none,own,1,unskilled resident,1,yes,yes,Good Risk
< 0 DM,48,existing paid back,car (used),4788,< 100 DM,4 <= x < 7 yrs,4,male:single,none,3,life insurance,26,none,own,1,skilled,2,none,yes,Good Risk
0 <= x < 200 DM,48,delay in past,others,7582,100 <= x < 500 DM,unemployed,2,male:single,none,4,no property,31,none,for free,1,high qual/mgmt,1,yes,yes,Good Risk
0 <= x < 200 DM,12,existing paid back,radio/tv,1092,< 100 DM,1 <= x < 4 yrs,4,female:div/dep/mar,guarantor,4,real estate,49,none,own,2,skilled,1,yes,yes,Good Risk
< 0 DM,24,delay in past,radio/tv,1024,< 100 DM,< 1 yr,4,male:mar/wid,none,4,real estate,48,stores,own,1,skilled,1,none,yes,Bad Risk
no checking account,12,existing paid back,business,1076,< 100 DM,1 <= x < 4 yrs,2,male:mar/wid,none,2,real estate,26,none,own,1,skilled,1,yes,no,Good Risk
0 <= x < 200 DM,36,existing paid back,car (used),9398,< 100 DM,< 1 yr,1,male:mar/wid,none,4,car,28,none,rent,1,high qual/mgmt,1,yes,yes,Bad Risk
< 0 DM,24,critical account,car (used),6419,< 100 DM,>= 7 yrs,2,female:div/dep/mar,none,4,no property,44,none,for free,2,high qual/mgmt,2,yes,yes,Good Risk
>= 200 DM,42,critical account,car (used),4796,< 100 DM,>= 7 yrs,4,male:single,none,4,no property,56,none,for free,1,skilled,1,none,yes,Good Risk
no checking account,48,critical account,business,7629,no savings,>= 7 yrs,4,male:divorced,none,2,car,46,bank,own,2,high qual/mgmt,2,none,yes,Good Risk
0 <= x < 200 DM,48,existing paid back,furniture/equip,9960,< 100 DM,< 1 yr,1,female:div/dep/mar,none,2,car,26,none,own,1,skilled,1,yes,yes,Bad Risk
no checking account,12,existing paid back,car (used),4675,no savings,< 1 yr,1,female:div/dep/mar,none,4,car,20,none,rent,1,skilled,1,none,yes,Good Risk
no checking account,10,existing paid back,car (new),1287,no savings,>= 7 yrs,4,male:single,co-applicant,2,life insurance,45,none,own,1,unskilled resident,1,none,no,Good Risk
no checking account,18,existing paid back,furniture/equip,2515,< 100 DM,1 <= x < 4 yrs,3,male:single,none,4,real estate,43,none,own,1,skilled,1,yes,yes,Good Risk
0 <= x < 200 DM,21,critical account,furniture/equip,2745,>= 1000 DM,4 <= x < 7 yrs,3,male:single,none,2,car,32,none,own,2,skilled,1,yes,yes,Good Risk
no checking account,6,existing paid back,car (new),672,< 100 DM,unemployed,1,female:div/dep/mar,none,4,real estate,54,none,own,1,unemp/unskilled non-res,1,yes,yes,Good Risk
0 <= x < 200 DM,36,no credits/all paid,radio/tv,3804,< 100 DM,1 <= x < 4 yrs,4,female:div/dep/mar,none,1,car,42,none,own,1,skilled,1,yes,yes,Bad Risk
>= 200 DM,24,critical account,car (new),1344,no savings,4 <= x < 7 yrs,4,male:single,none,2,real estate,37,bank,own,2,unskilled resident,2,none,yes,Bad Risk
< 0 DM,10,critical account,car (new),1038,< 100 DM,4 <= x < 7 yrs,4,male:single,co-applicant,3,life insurance,49,none,own,2,skilled,1,yes,yes,Good Risk
no checking account,48,critical account,car (new),10127,500 <= x < 1000 DM,1 <= x < 4 yrs,2,male:single,none,2,no property,44,bank,for free,1,skilled,1,none,yes,Bad Risk
no checking account,6,existing paid back,furniture/equip,1543,>= 1000 DM,1 <= x < 4 yrs,4,male:divorced,none,2,real estate,33,none,own,1,skilled,1,none,yes,Good Risk
no checking account,30,existing paid back,car (used),4811,no savings,4 <= x < 7 yrs,2,female:div/dep/mar,none,4,life insurance,24,stores,rent,1,unskilled resident,1,none,yes,Good Risk
< 0 DM,12,existing paid back,radio/tv,727,100 <= x < 500 DM,< 1 yr,4,male:mar/wid,none,3,no property,33,none,own,1,unskilled resident,1,yes,yes,Bad Risk
0 <= x < 200 DM,8,existing paid back,furniture/equip,1237,< 100 DM,1 <= x < 4 yrs,3,female:div/dep/mar,none,4,real estate,24,none,own,1,skilled,1,none,yes,Bad Risk
0 <= x < 200 DM,9,existing paid back,car (new),276,< 100 DM,1 <= x < 4 yrs,4,male:mar/wid,none,4,real estate,22,none,rent,1,unskilled resident,1,none,yes,Good Risk
0 <= x < 200 DM,48,existing paid back,others,5381,no savings,unemployed,3,male:single,none,4,no property,40,bank,for free,1,unemp/unskilled non-res,1,yes,yes,Good Risk
no checking account,24,existing paid back,furniture/equip,5511,100 <= x < 500 DM,1 <= x < 4 yrs,4,male:single,none,1,car,25,stores,own,1,skilled,1,none,yes,Good Risk
>= 200 DM,24,existing paid back,furniture/equip,3749,< 100 DM,< 1 yr,2,female:div/dep/mar,none,4,car,26,none,own,1,skilled,1,none,yes,Good Risk
0 <= x < 200 DM,12,existing paid back,car (new),685,< 100 DM,4 <= x < 7 yrs,2,male:mar/wid,none,3,car,25,bank,own,1,unskilled resident,1,none,yes,Bad Risk
>= 200 DM,4,existing paid back,car (new),1494,no savings,< 1 yr,1,male:single,none,2,real estate,29,none,own,1,unskilled resident,2,none,no,Good Risk
< 0 DM,36,all paid back here,furniture/equip,2746,< 100 DM,>= 7 yrs,4,male:single,none,4,car,31,bank,own,1,skilled,1,none,yes,Bad Risk
< 0 DM,12,existing paid back,furniture/equip,708,< 100 DM,1 <= x < 4 yrs,2,male:single,guarantor,3,life insurance,38,none,own,1,unskilled resident,2,none,yes,Good Risk
0 <= x < 200 DM,24,existing paid back,furniture/equip,4351,no savings,1 <= x < 4 yrs,1,female:div/dep/mar,none,4,life insurance,48,none,own,1,unskilled resident,1,yes,yes,Good Risk
no checking account,12,critical account,education,701,< 100 DM,1 <= x < 4 yrs,4,male:single,none,2,car,32,none,own,2,skilled,1,none,yes,Good Risk
< 0 DM,15,delay in past,furniture/equip,3643,< 100 DM,>= 7 yrs,1,female:div/dep/mar,none,4,life insurance,27,none,own,2,unskilled resident,1,none,yes,Good Risk
0 <= x < 200 DM,30,critical account,car (new),4249,< 100 DM,unemployed,4,male:mar/wid,none,2,car,28,none,own,2,high qual/mgmt,1,none,yes,Bad Risk
< 0 DM,24,existing paid back,radio/tv,1938,< 100 DM,< 1 yr,4,male:divorced,none,3,life insurance,32,none,own,1,skilled,1,none,yes,Bad Risk
< 0 DM,24,existing paid back,car (used),2910,< 100 DM,4 <= x < 7 yrs,2,male:single,none,1,no property,34,none,for free,1,high qual/mgmt,1,yes,yes,Good Risk
< 0 DM,18,existing paid back,furniture/equip,2659,>= 1000 DM,1 <= x < 4 yrs,4,male:single,none,2,car,28,none,own,1,skilled,1,none,yes,Good Risk
no checking account,18,critical account,car (new),1028,< 100 DM,1 <= x < 4 yrs,4,female:div/dep/mar,none,3,real estate,36,none,own,2,skilled,1,none,yes,Good Risk
< 0 DM,8,critical account,car (new),3398,< 100 DM,4 <= x < 7 yrs,1,male:single,none,4,real estate,39,none,own,2,unskilled resident,1,none,no,Good Risk
no checking account,12,critical account,furniture/equip,5801,no savings,>= 7 yrs,2,male:single,none,4,life insurance,49,none,rent,1,skilled,1,yes,yes,Good Risk
